ID, x, y, ux, uy, damage
372,-28.5,10.5,0,0,0
373,-28.5,11.5,0,0,0
374,-28.5,12.5,0,0,0
420,-27.5,2.5,0,0,0
421,-27.5,3.5,0,0,0
422,-27.5,4.5,0,0,0
423,-27.5,5.5,0,0,0
424,-27.5,6.5,0,0,0
425,-27.5,7.5,0,0,0
426,-27.5,8.5,0,0,0
427,-27.5,9.5,0,0,0
428,-27.5,10.5,0,0,0
429,-27.5,11.5,0,0,0
430,-27.5,12.5,0,0,0
476,-26.5,2.5,0,0,0
477,-26.5,3.5,0,0,0
478,-26.5,4.5,0,0,0
479,-26.5,5.5,0,0,0
480,-26.5,6.5,0,0,0
481,-26.5,7.5,0,0,0
482,-26.5,8.5,0,0,0
483,-26.5,9.5,0,0,0
484,-26.5,10.5,0,0,0
485,-26.5,11.5,0,0,0
486,-26.5,12.5,0,0,0
487,-26.5,13.5,0,0,0
532,-25.5,2.5,0,0,0
533,-25.5,3.5,0,0,0
534,-25.5,4.5,0,0,0
535,-25.5,5.5,0,0,0
536,-25.5,6.5,0,0,0
537,-25.5,7.5,0,0,0
538,-25.5,8.5,0,0,0
539,-25.5,9.5,0,0,0
540,-25.5,10.5,0,0,0
541,-25.5,11.5,0,0,0
542,-25.5,12.5,0,0,0
543,-25.5,13.5,0,0,0
588,-24.5,2.5,0,0,0
589,-24.5,3.5,0,0,0
590,-24.5,4.5,0,0,0
